# Species	Genes	Alg.-Conn.	s6.faa	s7.faa	s5.faa	s3.faa	s4.faa	s2.faa	s1.faa
7	7	1	lcl|NC_009782.1_prot_WP_000323161.1_2055	lcl|NC_009641.1_prot_WP_000323161.1_2117	lcl|NC_002758.2_prot_WP_000323161.1_2054	lcl|NC_017333.1_prot_WP_000323172.1_2101	lcl|NC_002745.2_prot_WP_000323161.1_1938	lcl|NC_007622.1_prot_WP_000323150.1_2002	lcl|NC_007795.1_prot_YP_500627.1_1945
7	7	1	lcl|NC_009782.1_prot_WP_000323441.1_2842	lcl|NC_009641.1_prot_WP_000323455.1_2895	lcl|NC_002758.2_prot_WP_000323441.1_2841	lcl|NC_017333.1_prot_WP_000323448.1_2810	lcl|NC_002745.2_prot_WP_000323441.1_2741	lcl|NC_007622.1_prot_WP_000323448.1_2698	lcl|NC_007795.1_prot_YP_501413.1_2681
7	7	1	lcl|NC_009782.1_prot_WP_000331330.1_200	lcl|NC_009641.1_prot_WP_000331347.1_157	lcl|NC_002758.2_prot_WP_000331330.1_200	lcl|NC_017333.1_prot_WP_000331348.1_215	lcl|NC_002745.2_prot_WP_000331330.1_200	lcl|NC_007622.1_prot_WP_000331324.1_150	lcl|NC_007795.1_prot_YP_498760.1_148
7	7	1	lcl|NC_009782.1_prot_WP_000332063.1_2563	lcl|NC_009641.1_prot_WP_000332063.1_2616	lcl|NC_002758.2_prot_WP_000332063.1_2562	lcl|NC_017333.1_prot_WP_000332075.1_2550	lcl|NC_002745.2_prot_WP_000332063.1_2454	lcl|NC_007622.1_prot_WP_000332066.1_2440	lcl|NC_007795.1_prot_YP_501136.1_2418
7	7	1	lcl|NC_009782.1_prot_WP_000334463.1_2314	lcl|NC_009641.1_prot_WP_000334465.1_2365	lcl|NC_002758.2_prot_WP_000334463.1_2313	lcl|NC_017333.1_prot_WP_000334469.1_2305	lcl|NC_002745.2_prot_WP_000334463.1_2206	lcl|NC_007622.1_prot_WP_000334461.1_2194	lcl|NC_007795.1_prot_YP_500875.1_2180
7	7	1	lcl|NC_009782.1_prot_WP_000334518.1_1513	lcl|NC_009641.1_prot_WP_000334518.1_1506	lcl|NC_002758.2_prot_WP_000334518.1_1512	lcl|NC_017333.1_prot_WP_000334521.1_1496	lcl|NC_002745.2_prot_WP_000334518.1_1397	lcl|NC_007622.1_prot_WP_000334510.1_1385	lcl|NC_007795.1_prot_YP_499942.1_1291
7	7	1	lcl|NC_009782.1_prot_WP_000337368.1_286	lcl|NC_009641.1_prot_WP_000337364.1_239	lcl|NC_002758.2_prot_WP_000337368.1_286	lcl|NC_017333.1_prot_WP_000337367.1_298	lcl|NC_002745.2_prot_WP_000337368.1_286	lcl|NC_007622.1_prot_WP_000337384.1_238	lcl|NC_007795.1_prot_YP_498842.1_226
3	5	0.4	lcl|NC_009782.1_prot_WP_000337826.1_910	lcl|NC_009641.1_prot_WP_000337827.1_297,lcl|NC_009641.1_prot_WP_000337827.1_2068,lcl|NC_009641.1_prot_WP_000337826.1_1128	lcl|NC_002758.2_prot_WP_000337826.1_909	*	*	*	*
4	4	1	lcl|NC_009782.1_prot_WP_000338530.1_2127	lcl|NC_009641.1_prot_WP_000338530.1_2190	lcl|NC_002758.2_prot_WP_000338530.1_2126	*	lcl|NC_002745.2_prot_WP_000338528.1_2009	*	*
7	7	1	lcl|NC_009782.1_prot_WP_000340119.1_1085	lcl|NC_009641.1_prot_WP_000340118.1_1006	lcl|NC_002758.2_prot_WP_000340119.1_1084	lcl|NC_017333.1_prot_WP_000340124.1_1072	lcl|NC_002745.2_prot_WP_000340119.1_969	lcl|NC_007622.1_prot_WP_000340126.1_958	lcl|NC_007795.1_prot_YP_499507.1_874
7	7	1	lcl|NC_009782.1_prot_WP_000340465.1_1261	lcl|NC_009641.1_prot_WP_000340475.1_1246	lcl|NC_002758.2_prot_WP_000340465.1_1260	lcl|NC_017333.1_prot_WP_000340451.1_1248	lcl|NC_002745.2_prot_WP_000340465.1_1145	lcl|NC_007622.1_prot_WP_000340468.1_1134	lcl|NC_007795.1_prot_YP_499683.1_1044
4	4	1	lcl|NC_009782.1_prot_WP_000340977.1_2095	lcl|NC_009641.1_prot_WP_000340977.1_2159	lcl|NC_002758.2_prot_WP_000340977.1_2094	*	lcl|NC_002745.2_prot_WP_000340977.1_1978	*	*
7	7	1	lcl|NC_009782.1_prot_WP_000342131.1_1523	lcl|NC_009641.1_prot_WP_000342125.1_1516	lcl|NC_002758.2_prot_WP_000342131.1_1522	lcl|NC_017333.1_prot_WP_000342140.1_1506	lcl|NC_002745.2_prot_WP_000342131.1_1407	lcl|NC_007622.1_prot_WP_000342136.1_1394	lcl|NC_007795.1_prot_YP_499952.1_1301
7	7	1	lcl|NC_009782.1_prot_WP_000342182.1_1268	lcl|NC_009641.1_prot_WP_000342185.1_1253	lcl|NC_002758.2_prot_WP_000342182.1_1267	lcl|NC_017333.1_prot_WP_000342201.1_1255	lcl|NC_002745.2_prot_WP_000342182.1_1152	lcl|NC_007622.1_prot_WP_000342193.1_1141	lcl|NC_007795.1_prot_YP_499690.1_1051
7	7	1	lcl|NC_009782.1_prot_WP_000342258.1_1723	lcl|NC_009641.1_prot_WP_000342266.1_1715	lcl|NC_002758.2_prot_WP_000342258.1_1722	lcl|NC_017333.1_prot_WP_000342266.1_1774	lcl|NC_002745.2_prot_WP_000342258.1_1607	lcl|NC_007622.1_prot_WP_000342268.1_1603	lcl|NC_007795.1_prot_YP_500227.1_1566
7	7	1	lcl|NC_009782.1_prot_WP_000344336.1_514	lcl|NC_009641.1_prot_WP_000344337.1_520	lcl|NC_002758.2_prot_WP_000344336.1_513	lcl|NC_017333.1_prot_WP_000344326.1_578	lcl|NC_002745.2_prot_WP_000344334.1_486	lcl|NC_007622.1_prot_WP_000344330.1_474	lcl|NC_007795.1_prot_YP_499033.1_413
7	7	1	lcl|NC_009782.1_prot_WP_000344352.1_2459	lcl|NC_009641.1_prot_WP_000344352.1_2510	lcl|NC_002758.2_prot_WP_000344352.1_2458	lcl|NC_017333.1_prot_WP_000344347.1_2445	lcl|NC_002745.2_prot_WP_000344352.1_2351	lcl|NC_007622.1_prot_WP_000344345.1_2335	lcl|NC_007795.1_prot_YP_501026.1_2323
7	7	1	lcl|NC_009782.1_prot_WP_000347061.1_609	lcl|NC_009641.1_prot_WP_000347061.1_616	lcl|NC_002758.2_prot_WP_000347061.1_608	lcl|NC_017333.1_prot_WP_000347066.1_676	lcl|NC_002745.2_prot_WP_000347061.1_581	lcl|NC_007622.1_prot_WP_011382204.1_572	lcl|NC_007795.1_prot_YP_499128.1_506
7	7	1	lcl|NC_009782.1_prot_WP_000347896.1_2322	lcl|NC_009641.1_prot_WP_000347896.1_2373	lcl|NC_002758.2_prot_WP_000347896.1_2321	lcl|NC_017333.1_prot_WP_000347896.1_2313	lcl|NC_002745.2_prot_WP_000347896.1_2214	lcl|NC_007622.1_prot_WP_000347896.1_2202	lcl|NC_007795.1_prot_YP_500883.1_2188
7	7	1	lcl|NC_009782.1_prot_WP_000348300.1_2513	lcl|NC_009641.1_prot_WP_000348300.1_2564	lcl|NC_002758.2_prot_WP_000348300.1_2512	lcl|NC_017333.1_prot_WP_000348297.1_2498	lcl|NC_002745.2_prot_WP_000348300.1_2405	lcl|NC_007622.1_prot_WP_000348297.1_2391	lcl|NC_007795.1_prot_YP_501082.1_2373
7	7	1	lcl|NC_009782.1_prot_WP_000348364.1_1919	lcl|NC_009641.1_prot_WP_000348360.1_1906	lcl|NC_002758.2_prot_WP_000348364.1_1918	lcl|NC_017333.1_prot_WP_000348381.1_1958	lcl|NC_002745.2_prot_WP_000348364.1_1802	lcl|NC_007622.1_prot_WP_000348355.1_1790	lcl|NC_007795.1_prot_YP_500417.1_1745
7	7	1	lcl|NC_009782.1_prot_WP_000349581.1_882	lcl|NC_009641.1_prot_WP_000368687.1_878	lcl|NC_002758.2_prot_WP_000349581.1_881	lcl|NC_017333.1_prot_WP_000368687.1_924	lcl|NC_002745.2_prot_WP_000349581.1_831	lcl|NC_007622.1_prot_WP_000368687.1_821	lcl|NC_007795.1_prot_YP_499381.1_749
7	7	1	lcl|NC_009782.1_prot_WP_000349655.1_2267	lcl|NC_009641.1_prot_WP_000349655.1_2318	lcl|NC_002758.2_prot_WP_000349655.1_2266	lcl|NC_017333.1_prot_WP_000349655.1_2243	lcl|NC_002745.2_prot_WP_000349655.1_2151	lcl|NC_007622.1_prot_WP_000349655.1_2150	lcl|NC_007795.1_prot_YP_500826.1_2134
5	6	0.667	lcl|NC_009782.1_prot_WP_000350686.1_965	lcl|NC_009641.1_prot_WP_000350684.1_1179,lcl|NC_009641.1_prot_WP_000350680.1_2016	lcl|NC_002758.2_prot_WP_000350686.1_964	*	*	lcl|NC_007622.1_prot_WP_000350680.1_1850	lcl|NC_007795.1_prot_YP_500527.1_1847
7	7	1	lcl|NC_009782.1_prot_WP_000350970.1_1467	lcl|NC_009641.1_prot_WP_000350978.1_1459	lcl|NC_002758.2_prot_WP_000350970.1_1466	lcl|NC_017333.1_prot_WP_000382431.1_1448	lcl|NC_002745.2_prot_WP_000350970.1_1351	lcl|NC_007622.1_prot_WP_000382444.1_1338	lcl|NC_007795.1_prot_YP_499893.1_1247
7	7	1	lcl|NC_009782.1_prot_WP_000353954.1_1043	lcl|NC_009641.1_prot_WP_000353955.1_964	lcl|NC_002758.2_prot_WP_000353954.1_1042	lcl|NC_017333.1_prot_WP_000353948.1_1033	lcl|NC_002745.2_prot_WP_000353954.1_927	lcl|NC_007622.1_prot_WP_000353943.1_917	lcl|NC_007795.1_prot_YP_499465.1_833
7	7	1	lcl|NC_009782.1_prot_WP_000354088.1_622	lcl|NC_009641.1_prot_WP_000354088.1_629	lcl|NC_002758.2_prot_WP_000354088.1_621	lcl|NC_017333.1_prot_WP_000354088.1_689	lcl|NC_002745.2_prot_WP_000354088.1_594	lcl|NC_007622.1_prot_WP_000354090.1_585	lcl|NC_007795.1_prot_YP_499140.1_518
7	7	1	lcl|NC_009782.1_prot_WP_000354114.1_1274	lcl|NC_009641.1_prot_WP_000354114.1_1259	lcl|NC_002758.2_prot_WP_000354114.1_1273	lcl|NC_017333.1_prot_WP_000354112.1_1261	lcl|NC_002745.2_prot_WP_000354114.1_1158	lcl|NC_007622.1_prot_WP_000354114.1_1147	lcl|NC_007795.1_prot_YP_499696.1_1057
6	6	1	lcl|NC_009782.1_prot_WP_000354127.1_975	lcl|NC_009641.1_prot_WP_000354119.1_1189	lcl|NC_002758.2_prot_WP_000354127.1_974	lcl|NC_017333.1_prot_WP_000354117.1_1584	*	lcl|NC_007622.1_prot_WP_000354126.1_1841	lcl|NC_007795.1_prot_YP_500517.1_1837
7	7	1	lcl|NC_009782.1_prot_WP_000354180.1_1291	lcl|NC_009641.1_prot_WP_000354184.1_1276	lcl|NC_002758.2_prot_WP_000354180.1_1290	lcl|NC_017333.1_prot_WP_000354182.1_1277	lcl|NC_002745.2_prot_WP_000354180.1_1175	lcl|NC_007622.1_prot_WP_000354186.1_1165	lcl|NC_007795.1_prot_YP_499713.1_1073
5	6	0.667	lcl|NC_009782.1_prot_WP_000354307.1_954	lcl|NC_009641.1_prot_WP_000354307.1_1168,lcl|NC_009641.1_prot_WP_000354303.1_2027	lcl|NC_002758.2_prot_WP_000354307.1_953	*	*	lcl|NC_007622.1_prot_WP_000354302.1_1861	lcl|NC_007795.1_prot_YP_500538.1_1858
7	7	1	lcl|NC_009782.1_prot_WP_000355845.1_85	lcl|NC_009641.1_prot_WP_000355845.1_32	lcl|NC_002758.2_prot_WP_000355845.1_85	lcl|NC_017333.1_prot_WP_000623679.1_68	lcl|NC_002745.2_prot_WP_000355845.1_85	lcl|NC_007622.1_prot_WP_000355840.1_35	lcl|NC_007795.1_prot_YP_498639.1_31
7	7	1	lcl|NC_009782.1_prot_WP_000356963.1_174	lcl|NC_009641.1_prot_WP_000356963.1_131	lcl|NC_002758.2_prot_WP_000356963.1_174	lcl|NC_017333.1_prot_WP_000356968.1_187	lcl|NC_002745.2_prot_WP_000356963.1_174	lcl|NC_007622.1_prot_WP_000356963.1_123	lcl|NC_007795.1_prot_YP_498734.1_122
7	7	1	lcl|NC_009782.1_prot_WP_000356978.1_1462	lcl|NC_009641.1_prot_WP_000356975.1_1454	lcl|NC_002758.2_prot_WP_000356978.1_1461	lcl|NC_017333.1_prot_WP_000356975.1_1443	lcl|NC_002745.2_prot_WP_000356975.1_1346	lcl|NC_007622.1_prot_WP_000356975.1_1333	lcl|NC_007795.1_prot_YP_499888.1_1242
7	7	1	lcl|NC_009782.1_prot_WP_000358006.1_2257	lcl|NC_009641.1_prot_WP_000358006.1_2308	lcl|NC_002758.2_prot_WP_000358006.1_2256	lcl|NC_017333.1_prot_WP_000358009.1_2232	lcl|NC_002745.2_prot_WP_000358006.1_2141	lcl|NC_007622.1_prot_WP_000358003.1_2140	lcl|NC_007795.1_prot_YP_500816.1_2124
7	7	1	lcl|NC_009782.1_prot_WP_000358498.1_724	lcl|NC_009641.1_prot_WP_000358498.1_743	lcl|NC_002758.2_prot_WP_000358498.1_723	lcl|NC_017333.1_prot_WP_000358503.1_795	lcl|NC_002745.2_prot_WP_000358498.1_696	lcl|NC_007622.1_prot_WP_000358497.1_689	lcl|NC_007795.1_prot_YP_499249.1_623
6	9	0.222	lcl|NC_009782.1_prot_WP_000358774.1_2161,lcl|NC_009782.1_prot_WP_000358774.1_857	lcl|NC_009641.1_prot_WP_000128898.1_2227	lcl|NC_002758.2_prot_WP_001807583.1_2160,lcl|NC_002758.2_prot_WP_000358774.1_856	*	lcl|NC_002745.2_prot_WP_000358774.1_2045	lcl|NC_007622.1_prot_WP_078062700.1_393,lcl|NC_007622.1_prot_WP_045181470.1_2043	lcl|NC_007795.1_prot_YP_500734.1_2046
7	7	1	lcl|NC_009782.1_prot_WP_000361540.1_1560	lcl|NC_009641.1_prot_WP_000361544.1_1553	lcl|NC_002758.2_prot_WP_000361540.1_1559	lcl|NC_017333.1_prot_WP_000361538.1_1542	lcl|NC_002745.2_prot_WP_000361540.1_1444	lcl|NC_007622.1_prot_WP_000361551.1_1438	lcl|NC_007795.1_prot_YP_499992.2_1337
7	7	1	lcl|NC_009782.1_prot_WP_000362218.1_1556	lcl|NC_009641.1_prot_WP_000362212.1_1549	lcl|NC_002758.2_prot_WP_000362218.1_1555	lcl|NC_017333.1_prot_WP_000362222.1_1538	lcl|NC_002745.2_prot_WP_000362218.1_1440	lcl|NC_007622.1_prot_WP_000362221.1_1434	lcl|NC_007795.1_prot_YP_499988.1_1333
7	7	1	lcl|NC_009782.1_prot_WP_000362511.1_2926	lcl|NC_009641.1_prot_WP_000362503.1_2984	lcl|NC_002758.2_prot_WP_000362511.1_2925	lcl|NC_017333.1_prot_WP_000362509.1_2891	lcl|NC_002745.2_prot_WP_000362509.1_2825	lcl|NC_007622.1_prot_WP_000362505.1_2784	lcl|NC_007795.1_prot_YP_501498.1_2765
7	7	1	lcl|NC_009782.1_prot_WP_000362976.1_652	lcl|NC_009641.1_prot_WP_000362967.1_672	lcl|NC_002758.2_prot_WP_000362976.1_651	lcl|NC_017333.1_prot_WP_000362963.1_726	lcl|NC_002745.2_prot_WP_000362976.1_624	lcl|NC_007622.1_prot_WP_000362957.1_620	lcl|NC_007795.1_prot_YP_499179.1_555
7	7	1	lcl|NC_009782.1_prot_WP_000364542.1_1746	lcl|NC_009641.1_prot_WP_000364542.1_1737	lcl|NC_002758.2_prot_WP_000364542.1_1745	lcl|NC_017333.1_prot_WP_000364542.1_1795	lcl|NC_002745.2_prot_WP_000364542.1_1630	lcl|NC_007622.1_prot_WP_000364543.1_1625	lcl|NC_007795.1_prot_YP_500250.1_1585
7	7	1	lcl|NC_009782.1_prot_WP_000365240.1_1605	lcl|NC_009641.1_prot_WP_000365246.1_1600	lcl|NC_002758.2_prot_WP_000365240.1_1604	lcl|NC_017333.1_prot_WP_000365235.1_1659	lcl|NC_002745.2_prot_WP_000365240.1_1489	lcl|NC_007622.1_prot_WP_000365246.1_1480	lcl|NC_007795.1_prot_YP_500108.1_1451
7	7	1	lcl|NC_009782.1_prot_WP_000365312.1_1833	lcl|NC_009641.1_prot_WP_000365320.1_1815	lcl|NC_002758.2_prot_WP_000365312.1_1832	lcl|NC_017333.1_prot_WP_000365308.1_1873	lcl|NC_002745.2_prot_WP_000365312.1_1716	lcl|NC_007622.1_prot_WP_000365328.1_1703	lcl|NC_007795.1_prot_YP_500328.1_1661
7	7	1	lcl|NC_009782.1_prot_WP_000365354.1_651	lcl|NC_009641.1_prot_WP_000365354.1_671	lcl|NC_002758.2_prot_WP_000365354.1_650	lcl|NC_017333.1_prot_WP_000365352.1_725	lcl|NC_002745.2_prot_WP_000365354.1_623	lcl|NC_007622.1_prot_WP_000365357.1_619	lcl|NC_007795.1_prot_YP_499178.1_554
7	7	1	lcl|NC_009782.1_prot_WP_000366163.1_1912	lcl|NC_009641.1_prot_WP_000366154.1_1898	lcl|NC_002758.2_prot_WP_000366163.1_1911	lcl|NC_017333.1_prot_WP_000366160.1_1951	lcl|NC_002745.2_prot_WP_000366163.1_1795	lcl|NC_007622.1_prot_WP_000366162.1_1783	lcl|NC_007795.1_prot_YP_500409.1_1737
7	7	1	lcl|NC_009782.1_prot_WP_000367062.1_715	lcl|NC_009641.1_prot_WP_000367064.1_734	lcl|NC_002758.2_prot_WP_000367062.1_714	lcl|NC_017333.1_prot_WP_000367065.1_786	lcl|NC_002745.2_prot_WP_000367062.1_687	lcl|NC_007622.1_prot_WP_011382211.1_680	lcl|NC_007795.1_prot_YP_499240.1_614
7	7	1	lcl|NC_009782.1_prot_WP_000367419.1_1622	lcl|NC_009641.1_prot_WP_000367419.1_1616	lcl|NC_002758.2_prot_WP_000367419.1_1621	lcl|NC_017333.1_prot_WP_000367419.1_1675	lcl|NC_002745.2_prot_WP_000367419.1_1506	lcl|NC_007622.1_prot_WP_000367419.1_1504	lcl|NC_007795.1_prot_YP_500125.1_1468
7	7	1	lcl|NC_009782.1_prot_WP_000368166.1_1374	lcl|NC_009641.1_prot_WP_000368166.1_1359	lcl|NC_002758.2_prot_WP_000368166.1_1373	lcl|NC_017333.1_prot_WP_000368166.1_1361	lcl|NC_002745.2_prot_WP_000368166.1_1258	lcl|NC_007622.1_prot_WP_000368166.1_1248	lcl|NC_007795.1_prot_YP_499795.2_1153
7	7	1	lcl|NC_009782.1_prot_WP_000368226.1_1293	lcl|NC_009641.1_prot_WP_000368227.1_1278	lcl|NC_002758.2_prot_WP_000368226.1_1292	lcl|NC_017333.1_prot_WP_000368225.1_1279	lcl|NC_002745.2_prot_WP_000368226.1_1177	lcl|NC_007622.1_prot_WP_000368225.1_1167	lcl|NC_007795.1_prot_YP_499715.1_1075
7	7	1	lcl|NC_009782.1_prot_WP_000368338.1_1693	lcl|NC_009641.1_prot_WP_000368341.1_1687	lcl|NC_002758.2_prot_WP_000368338.1_1692	lcl|NC_017333.1_prot_WP_000368338.1_1746	lcl|NC_002745.2_prot_WP_000368338.1_1577	lcl|NC_007622.1_prot_WP_000368338.1_1575	lcl|NC_007795.1_prot_YP_500198.1_1538
7	7	1	lcl|NC_009782.1_prot_WP_000368656.1_1600	lcl|NC_009641.1_prot_WP_000368653.1_1595	lcl|NC_002758.2_prot_WP_000368656.1_1599	lcl|NC_017333.1_prot_WP_000368650.1_1654	lcl|NC_002745.2_prot_WP_000368656.1_1484	lcl|NC_007622.1_prot_WP_042852727.1_1475	lcl|NC_007795.1_prot_YP_500103.1_1446
7	7	1	lcl|NC_009782.1_prot_WP_000368902.1_1754	lcl|NC_009641.1_prot_WP_000368902.1_1745	lcl|NC_002758.2_prot_WP_000368902.1_1753	lcl|NC_017333.1_prot_WP_000368902.1_1803	lcl|NC_002745.2_prot_WP_000368902.1_1638	lcl|NC_007622.1_prot_WP_000368902.1_1633	lcl|NC_007795.1_prot_YP_500258.1_1593
6	10	0.186	lcl|NC_009782.1_prot_WP_000369014.1_967	lcl|NC_009641.1_prot_WP_000323259.1_353,lcl|NC_009641.1_prot_WP_012068325.1_1181,lcl|NC_009641.1_prot_WP_000369015.1_2014	lcl|NC_002758.2_prot_WP_000369014.1_966	lcl|NC_017333.1_prot_WP_000429556.1_404,lcl|NC_017333.1_prot_WP_000429556.1_1592	*	lcl|NC_007622.1_prot_WP_000066421.1_1848	lcl|NC_007795.1_prot_YP_500525.1_1845,lcl|NC_007795.1_prot_YP_500038.1_1382
7	7	1	lcl|NC_009782.1_prot_WP_000369722.1_820	lcl|NC_009641.1_prot_WP_000369722.1_840	lcl|NC_002758.2_prot_WP_000369722.1_819	lcl|NC_017333.1_prot_WP_000369722.1_889	lcl|NC_002745.2_prot_WP_000369722.1_792	lcl|NC_007622.1_prot_WP_000369715.1_784	lcl|NC_007795.1_prot_YP_499344.2_715
7	7	1	lcl|NC_009782.1_prot_WP_000370122.1_2216	lcl|NC_009641.1_prot_WP_000370124.1_2268	lcl|NC_002758.2_prot_WP_000370122.1_2215	lcl|NC_017333.1_prot_WP_000370115.1_2193	lcl|NC_002745.2_prot_WP_000370122.1_2100	lcl|NC_007622.1_prot_WP_000370129.1_2101	lcl|NC_007795.1_prot_YP_500775.1_2085
7	7	1	lcl|NC_009782.1_prot_WP_000370182.1_565	lcl|NC_009641.1_prot_WP_000370182.1_571	lcl|NC_002758.2_prot_WP_000370182.1_564	lcl|NC_017333.1_prot_WP_000370181.1_630	lcl|NC_002745.2_prot_WP_000370182.1_537	lcl|NC_007622.1_prot_WP_000370187.1_527	lcl|NC_007795.1_prot_YP_499085.1_463
7	7	1	lcl|NC_009782.1_prot_WP_000370925.1_2312	lcl|NC_009641.1_prot_WP_000370924.1_2363	lcl|NC_002758.2_prot_WP_000370925.1_2311	lcl|NC_017333.1_prot_WP_000370942.1_2289	lcl|NC_002745.2_prot_WP_000370925.1_2204	lcl|NC_007622.1_prot_WP_000370940.1_2192	lcl|NC_007795.1_prot_YP_500873.1_2178
7	7	1	lcl|NC_009782.1_prot_WP_000373073.1_378	lcl|NC_009641.1_prot_WP_001077602.1_408	lcl|NC_002758.2_prot_WP_000373073.1_378	lcl|NC_017333.1_prot_WP_000373073.1_459	lcl|NC_002745.2_prot_WP_000373073.1_377	lcl|NC_007622.1_prot_WP_000373074.1_344	lcl|NC_007795.1_prot_YP_498933.1_315
7	7	1	lcl|NC_009782.1_prot_WP_000375647.1_17	lcl|NC_009641.1_prot_WP_000375647.1_17	lcl|NC_002758.2_prot_WP_000375647.1_17	lcl|NC_017333.1_prot_WP_000375643.1_17	lcl|NC_002745.2_prot_WP_000375647.1_17	lcl|NC_007622.1_prot_WP_000375647.1_17	lcl|NC_007795.1_prot_YP_498624.1_16
7	7	1	lcl|NC_009782.1_prot_WP_000375683.1_516	lcl|NC_009641.1_prot_WP_000375686.1_522	lcl|NC_002758.2_prot_WP_000375683.1_515	lcl|NC_017333.1_prot_WP_000375686.1_580	lcl|NC_002745.2_prot_WP_000375683.1_488	lcl|NC_007622.1_prot_WP_000375686.1_476	lcl|NC_007795.1_prot_YP_499035.2_415
7	7	1	lcl|NC_009782.1_prot_WP_000375864.1_1976	lcl|NC_009641.1_prot_WP_000375864.1_1970	lcl|NC_002758.2_prot_WP_000375864.1_1975	lcl|NC_017333.1_prot_WP_000375864.1_2024	lcl|NC_002745.2_prot_WP_000375864.1_1859	lcl|NC_007622.1_prot_WP_000375864.1_1924	lcl|NC_007795.1_prot_YP_500476.1_1801
7	7	1	lcl|NC_009782.1_prot_WP_000376235.1_2716	lcl|NC_009641.1_prot_WP_000376235.1_2769	lcl|NC_002758.2_prot_WP_000376235.1_2715	lcl|NC_017333.1_prot_WP_000376235.1_2693	lcl|NC_002745.2_prot_WP_000376235.1_2607	lcl|NC_007622.1_prot_WP_000376237.1_2577	lcl|NC_007795.1_prot_YP_501285.1_2558
7	7	1	lcl|NC_009782.1_prot_WP_000377064.1_518	lcl|NC_009641.1_prot_WP_000377064.1_524	lcl|NC_002758.2_prot_WP_000377064.1_517	lcl|NC_017333.1_prot_WP_000377064.1_582	lcl|NC_002745.2_prot_WP_000377064.1_490	lcl|NC_007622.1_prot_WP_000377064.1_478	lcl|NC_007795.1_prot_YP_499037.1_417
7	7	1	lcl|NC_009782.1_prot_WP_000379044.1_1339	lcl|NC_009641.1_prot_WP_000379054.1_1324	lcl|NC_002758.2_prot_WP_000379044.1_1338	lcl|NC_017333.1_prot_WP_000379054.1_1326	lcl|NC_002745.2_prot_WP_000379044.1_1223	lcl|NC_007622.1_prot_WP_000379056.1_1212	lcl|NC_007795.1_prot_YP_499762.1_1121
7	7	1	lcl|NC_009782.1_prot_WP_000379098.1_2000	lcl|NC_009641.1_prot_WP_000379098.1_1995	lcl|NC_002758.2_prot_WP_000379098.1_1999	lcl|NC_017333.1_prot_WP_000379101.1_2047	lcl|NC_002745.2_prot_WP_000379098.1_1883	lcl|NC_007622.1_prot_WP_000379092.1_1946	lcl|NC_007795.1_prot_YP_500503.1_1824
7	7	1	lcl|NC_009782.1_prot_WP_000379821.1_2767	lcl|NC_009641.1_prot_WP_000379821.1_2822	lcl|NC_002758.2_prot_WP_000379821.1_2766	lcl|NC_017333.1_prot_WP_000379829.1_2741	lcl|NC_002745.2_prot_WP_000379821.1_2658	lcl|NC_007622.1_prot_WP_000379823.1_2628	lcl|NC_007795.1_prot_YP_501338.1_2611
6	6	1	lcl|NC_009782.1_prot_WP_000380730.1_1433	lcl|NC_009641.1_prot_WP_000380731.1_1426	lcl|NC_002758.2_prot_WP_000380730.1_1432	lcl|NC_017333.1_prot_WP_000380739.1_1416	lcl|NC_002745.2_prot_WP_000380730.1_1317	*	lcl|NC_007795.1_prot_YP_499862.1_1218
7	7	1	lcl|NC_009782.1_prot_WP_000381269.1_2630	lcl|NC_009641.1_prot_WP_000381262.1_2683	lcl|NC_002758.2_prot_WP_000381269.1_2629	lcl|NC_017333.1_prot_WP_000381267.1_2613	lcl|NC_002745.2_prot_WP_000381269.1_2521	lcl|NC_007622.1_prot_WP_000381265.1_2505	lcl|NC_007795.1_prot_YP_501201.1_2481
7	7	1	lcl|NC_009782.1_prot_WP_000381849.1_1159	lcl|NC_009641.1_prot_WP_000381849.1_1081	lcl|NC_002758.2_prot_WP_000381849.1_1158	lcl|NC_017333.1_prot_WP_000381849.1_1146	lcl|NC_002745.2_prot_WP_000381849.1_1043	lcl|NC_007622.1_prot_WP_000381844.1_1034	lcl|NC_007795.1_prot_YP_499580.1_945
7	7	1	lcl|NC_009782.1_prot_WP_000383180.1_1718	lcl|NC_009641.1_prot_WP_000383180.1_1710	lcl|NC_002758.2_prot_WP_000383180.1_1717	lcl|NC_017333.1_prot_WP_000383182.1_1769	lcl|NC_002745.2_prot_WP_000383180.1_1602	lcl|NC_007622.1_prot_WP_000383184.1_1598	lcl|NC_007795.1_prot_YP_500222.1_1561
7	7	1	lcl|NC_009782.1_prot_WP_000383814.1_1865	lcl|NC_009641.1_prot_WP_000383814.1_1846	lcl|NC_002758.2_prot_WP_000383814.1_1864	lcl|NC_017333.1_prot_WP_000383814.1_1904	lcl|NC_002745.2_prot_WP_000383814.1_1748	lcl|NC_007622.1_prot_WP_000383814.1_1734	lcl|NC_007795.1_prot_YP_500359.1_1691
7	7	1	lcl|NC_009782.1_prot_WP_000384171.1_1901	lcl|NC_009641.1_prot_WP_000384171.1_1887	lcl|NC_002758.2_prot_WP_000384171.1_1900	lcl|NC_017333.1_prot_WP_000384171.1_1940	lcl|NC_002745.2_prot_WP_000384171.1_1784	lcl|NC_007622.1_prot_WP_000384171.1_1773	lcl|NC_007795.1_prot_YP_500397.1_1727
