number Species	Genes	Alg.-Conn.	r1.faa	r2.faa	r3.faa	r4.faa	r5.faa	r6.faa	r7.faa
7	7	0.826	WP_004997012.1	WP_011190480.1	WP_011476699.1	WP_012150227.1	WP_045800125.1	NP_220399.1	WP_004596706.1
7	7	0.826	WP_010976800.1	WP_011190520.1	WP_011477983.1	WP_012150343.1	WP_045800156.1	NP_220484.1	WP_004599737.1
7	7	0.826	WP_010976849.1	WP_011190598.1	WP_011477815.1	WP_012150394.1	WP_014391848.1	NP_220528.1	WP_004599759.1
7	7	0.826	WP_010977227.1	WP_011190877.1	WP_011477407.1	WP_012150787.1	WP_014392215.1	NP_220811.1	WP_004599469.1
7	7	0.826	WP_010977531.1	WP_011191040.1	WP_011477528.1	WP_012151090.1	WP_014392576.1	NP_220974.1	WP_004597954.1
7	7	0.826	WP_010977684.1	WP_011191151.1	WP_011477053.1	WP_012151240.1	WP_014392716.1	NP_221084.1	WP_004597038.1
7	7	0.825	WP_004996146.1	WP_011190761.1	WP_011477204.1	WP_012150619.1	WP_053350953.1	NP_220691.1	WP_004599391.1
7	7	0.825	WP_004997884.1	WP_011191056.1	WP_011477129.1	WP_012262521.1	WP_014392602.1	NP_220988.1	WP_010886337.1
7	7	0.825	WP_010976786.1	WP_011190532.1	WP_011476721.1	WP_012150328.1	WP_014391819.1	NP_220467.1	WP_004596551.1
7	7	0.825	WP_010976787.1	WP_011190531.1	WP_011476720.1	WP_012150329.1	WP_045800158.1	NP_220468.1	WP_010886203.1
7	7	0.825	WP_010977159.1	WP_011190828.1	WP_011477313.1	WP_012150717.1	WP_014392149.1	NP_220759.1	WP_004597533.1
7	7	0.825	WP_010977253.1	WP_014419435.1	WP_011477354.1	WP_012150817.1	WP_045800318.1	NP_220828.1	WP_004599479.1
7	7	0.825	WP_010977558.1	WP_011191055.1	WP_011477139.1	WP_012151114.1	WP_014392600.1	NP_220987.1	WP_004599173.1
7	7	0.825	WP_010977596.1	WP_011191096.1	WP_011477730.1	WP_012262534.1	WP_053351102.1	NP_221028.1	WP_014411753.1
7	7	0.825	WP_010977598.1	WP_011191097.1	WP_011477732.1	WP_012262536.1	WP_014392645.1	NP_221029.1	WP_004596187.1
7	7	0.825	WP_010977797.1	WP_011191216.1	WP_011476796.1	WP_004997331.1	WP_053351129.1	NP_221148.1	WP_004596909.1
7	7	0.825	WP_016830954.1	WP_011191181.1	WP_011476812.1	WP_012151300.1	WP_014392774.1	NP_221114.1	WP_004596972.1
7	7	0.824	WP_004996598.1	WP_011190624.1	WP_011477779.1	WP_012150421.1	WP_014391874.1	NP_220553.1	WP_004595881.1
7	7	0.824	WP_004996775.1	WP_011190529.1	WP_011476717.1	WP_012150331.1	WP_014391816.1	NP_220470.1	WP_004596540.1
7	7	0.824	WP_010977076.1	WP_011190768.1	WP_011477490.1	WP_012150634.1	WP_045800253.1	NP_220697.1	WP_004599396.1
7	7	0.824	WP_010977586.1	WP_011191089.1	WP_011477719.1	WP_012151150.1	WP_045800472.1	NP_221021.1	WP_004596201.1
7	7	0.823	WP_004995765.1	WP_011190869.1	WP_011477416.1	WP_012150780.1	WP_053350994.1	NP_220803.1	WP_004597621.1
7	7	0.823	WP_004997144.1	WP_011191268.1	WP_011476760.1	WP_012151426.1	WP_014391637.1	NP_221199.1	WP_004599681.1
7	7	0.823	WP_010977056.1	WP_004597385.1	WP_011476971.1	WP_012150611.1	WP_053350952.1	NP_220683.1	WP_004597385.1
7	7	0.823	WP_010977459.1	WP_011191002.1	WP_011477880.1	WP_012262477.1	WP_045800364.1	NP_220937.1	WP_010886326.1
7	7	0.823	WP_029374439.1	WP_011190712.1	WP_011477616.1	WP_012719516.1	WP_014391986.1	NP_220639.1	WP_004596080.1
7	7	0.823	WP_029374467.1	WP_011190978.1	WP_012151873.1	WP_014362368.1	WP_014392416.1	NP_220912.1	WP_004599058.1
7	7	0.822	WP_004996740.1	WP_011190515.1	WP_011477990.1	WP_012150352.1	WP_053350890.1	NP_220489.1	WP_004596488.1
7	7	0.822	WP_004997426.1	WP_011191182.1	WP_011476810.1	WP_012151303.1	WP_014392775.1	NP_221116.1	WP_004596970.1
7	7	0.822	WP_010977378.1	WP_011190966.1	WP_011476990.1	WP_012150880.1	WP_045800342.1	NP_220902.1	WP_004597801.1
7	7	0.822	WP_010977497.1	WP_011191021.1	WP_011477368.1	WP_012262495.1	WP_053351020.1	NP_220955.1	WP_004597905.1
7	7	0.822	WP_041471752.1	WP_011191249.1	WP_011478075.1	WP_012151395.1	WP_014391607.1	NP_221181.1	WP_004596826.1
7	7	0.822	WP_081420718.1	WP_011190968.1	WP_081423312.1	WP_080508225.1	WP_082262786.1	NP_220904.1	WP_010886313.1
7	7	0.821	WP_010976781.1	WP_011190538.1	WP_011477956.1	WP_012262202.1	WP_053350885.1	NP_220461.1	WP_004599725.1
7	7	0.821	WP_010977239.1	WP_011190886.1	WP_011477894.1	WP_012150801.1	WP_014392227.1	NP_220819.1	WP_004597652.1
7	7	0.821	WP_010977348.1	WP_011190928.1	WP_011477608.1	WP_010977348.1	WP_010977348.1	NP_220862.1	WP_004599506.1
7	7	0.821	WP_010977608.1	WP_011191110.1	WP_041804769.1	WP_012262543.1	WP_045800479.1	NP_221038.1	WP_004599524.1
7	7	0.821	WP_041471710.1	WP_011190706.1	WP_011477623.1	WP_012150547.1	WP_014391979.1	NP_220633.1	WP_004598530.1
7	7	0.821	WP_041471777.1	WP_011191215.1	WP_011476797.1	WP_014362424.1	WP_053351154.1	NP_221147.1	WP_004599656.1
7	7	0.82	WP_004996155.1	WP_011190756.1	WP_011476968.1	WP_004996155.1	WP_014392052.1	NP_220685.1	WP_004597389.1
7	7	0.82	WP_010976880.1	WP_011190635.1	WP_011477806.1	WP_012150430.1	WP_014391884.1	NP_220563.1	WP_004598617.1
7	7	0.82	WP_010977166.1	WP_011190833.1	WP_011477472.1	WP_012150726.1	WP_014392156.1	NP_220765.1	WP_004597559.1
7	7	0.82	WP_010977286.1	WP_011190944.1	WP_011477442.1	WP_012150851.1	WP_014392270.1	NP_220881.1	WP_004597752.1
7	7	0.82	WP_010977288.1	WP_011190943.1	WP_011477441.1	WP_012150853.1	WP_014392271.1	NP_220880.1	WP_014411747.1
7	7	0.82	WP_010977330.1	WP_011190913.1	WP_011477458.1	WP_012150895.1	WP_053351047.1	NP_220847.1	WP_004597704.1
7	7	0.82	WP_010977809.1	WP_011191225.1	WP_011476804.1	WP_012151354.1	WP_053351130.1	NP_221157.1	WP_004599661.1
7	7	0.82	WP_010977817.1	WP_011191230.1	WP_011476714.1	WP_012151362.1	WP_014392830.1	NP_221161.1	WP_004599663.1
7	7	0.819	WP_004996865.1	WP_011190563.1	WP_011476817.1	WP_004996865.1	WP_014120459.1	NP_220434.1	WP_004596642.1
7	7	0.819	WP_010977304.1	WP_011190902.1	WP_011477238.1	WP_012150957.1	WP_053351052.1	NP_220835.1	WP_004599489.1
7	7	0.819	WP_010977631.1	WP_011191119.1	WP_011477181.1	WP_012151193.1	WP_014392670.1	NP_221048.1	WP_014411754.1
7	7	0.819	WP_010977655.1	WP_011191131.1	WP_011476894.1	WP_012151212.1	WP_014392688.1	NP_221060.1	WP_004598073.1
7	7	0.819	WP_010977777.1	WP_011191197.1	WP_011476771.1	WP_012151322.1	WP_045800077.1	NP_221129.1	WP_004596947.1
7	7	0.819	WP_016830741.1	WP_011190854.1	WP_011477553.1	WP_012150754.1	WP_045800299.1	NP_220788.1	WP_004599453.1
7	7	0.818	WP_004997124.1	WP_011191280.1	WP_011476741.1	WP_012151435.1	WP_053350865.1	NP_221211.1	WP_004596753.1
7	7	0.818	WP_004997587.1	WP_011191143.1	WP_011477911.1	WP_012151231.1	WP_045800047.1	NP_221076.1	WP_010886359.1
7	7	0.818	WP_004997785.1	WP_011191090.1	WP_011477720.1	WP_012151151.1	WP_014392635.1	NP_221022.1	WP_004596200.1
7	7	0.818	WP_010977002.1	WP_011190718.1	WP_011476952.1	WP_012150560.1	WP_014391993.1	NP_220646.1	WP_004596096.1
7	7	0.818	WP_010977237.1	WP_011190883.1	WP_011477891.1	WP_012150799.1	WP_014392224.1	NP_220816.1	WP_004597648.1
7	7	0.818	WP_010977247.1	WP_011190892.1	WP_011477118.1	WP_012150811.1	WP_053351000.1	NP_220825.1	WP_004597666.1
7	7	0.818	WP_010977425.1	WP_011190989.1	WP_011477282.1	WP_012150992.1	WP_014392398.1	NP_220924.1	WP_004599046.1
7	7	0.818	WP_010977910.1	WP_011191293.1	WP_011476748.1	WP_012151465.1	WP_014391669.1	NP_221223.1	WP_010886386.1
7	7	0.818	WP_041471733.1	WP_011191018.1	WP_011477657.1	WP_012151048.1	WP_014392343.1	NP_220952.1	WP_004597898.1
7	7	0.817	WP_010976926.1	WP_011190664.1	WP_011477753.1	WP_012150483.1	WP_045800203.1	NP_220591.1	WP_004598584.1
7	7	0.817	WP_010976990.1	WP_011190709.1	WP_011477620.1	WP_012150550.1	WP_053350941.1	NP_220636.1	WP_004598523.1
7	7	0.817	WP_010977577.1	WP_011191072.1	WP_011477700.1	WP_012151136.1	WP_014392620.1	NP_221002.1	WP_004599187.1
7	7	0.817	WP_010977810.1	WP_011191226.1	WP_011476807.1	WP_012151355.1	WP_045800090.1	NP_221158.1	WP_014411763.1
7	7	0.817	WP_041471717.1	WP_011190822.1	WP_011477537.1	WP_012150703.1	WP_053350976.1	NP_220754.1	WP_004597521.1
7	7	0.816	WP_010976862.1	WP_011190612.1	WP_011477794.1	WP_012262230.1	WP_053350905.1	NP_220542.1	WP_004597215.1
7	7	0.816	WP_010977215.1	WP_011190864.1	WP_011477323.1	WP_012150774.1	WP_045800304.1	NP_220798.1	WP_004597612.1
7	7	0.816	WP_010977498.1	WP_011191023.1	WP_011477366.1	WP_012151059.1	WP_014392331.1	NP_220957.1	WP_004597913.1
7	7	0.816	WP_010977717.1	WP_011191161.1	WP_011477959.1	WP_012151264.1	WP_045800057.1	NP_221095.1	WP_004597016.1
7	7	0.816	WP_010977776.1	WP_011191196.1	WP_011476770.1	WP_012151321.1	WP_014392795.1	NP_221128.1	WP_004599648.1
7	7	0.815	WP_004995725.1	WP_011190893.1	WP_011477119.1	WP_012150812.1	WP_014392236.1	NP_220826.1	WP_004599476.1
7	7	0.815	WP_004995757.1	WP_011190872.1	WP_041804680.1	WP_004995757.1	WP_014392210.1	NP_220806.1	WP_004597627.1
7	7	0.815	WP_010976697.1	WP_011190484.1	WP_011477847.1	WP_004997000.1	WP_045800126.1	NP_220404.1	WP_004596700.1
7	7	0.815	WP_010976866.1	WP_011190615.1	WP_011477791.1	WP_012150412.1	WP_014391867.1	NP_220545.1	WP_004595870.1
7	7	0.815	WP_010977013.1	WP_011190727.1	WP_011477496.1	WP_012150570.1	WP_045800234.1	NP_220655.1	WP_004597339.1
7	7	0.815	WP_010977314.1	WP_011190906.1	WP_011477247.1	WP_012262440.1	WP_053351050.1	NP_220840.1	WP_004597690.1
7	7	0.815	WP_010977856.1	WP_011191254.1	WP_011476855.1	WP_012262624.1	WP_014391614.1	NP_221186.1	WP_004596814.1
7	7	0.814	WP_004996555.1	WP_011190640.1	WP_011477756.1	WP_012150442.1	WP_014391891.1	NP_220568.1	WP_004595914.1
7	7	0.814	WP_004997759.1	WP_011191100.1	WP_016948370.1	WP_004997759.1	WP_014392648.1	NP_221032.1	WP_004596176.1
7	7	0.814	WP_010976735.1	WP_011190569.1	WP_011478018.1	WP_012150280.1	WP_014391703.1	NP_220428.1	WP_004599712.1
7	7	0.814	WP_010977345.1	WP_011190926.1	WP_011477332.1	WP_012262424.1	WP_053351042.1	NP_220860.1	WP_004599503.1
7	7	0.814	WP_010977392.1	WP_011190974.1	WP_011477861.1	WP_014362478.1	WP_053351013.1	NP_220909.1	WP_010886315.1
7	7	0.814	WP_010977883.1	WP_011191274.1	WP_011476756.1	WP_012151431.1	WP_014391643.1	NP_221205.1	WP_004596764.1
7	7	0.814	WP_010977895.1	WP_011191286.1	WP_011477969.1	WP_010977895.1	WP_053350866.1	NP_221216.1	WP_004599689.1
7	7	0.813	WP_010976793.1	WP_011190524.1	WP_011477933.1	WP_012150337.1	WP_014391809.1	NP_220479.1	WP_004596525.1
7	7	0.813	WP_010977214.1	WP_011190863.1	WP_041804659.1	WP_012150773.1	WP_082262781.1	NP_220797.1	WP_010886290.1
7	7	0.813	WP_010977225.1	WP_011190874.1	WP_011477410.1	WP_012150784.1	WP_014392212.1	NP_220808.1	WP_004599468.1
7	7	0.813	WP_010977412.1	WP_011190979.1	WP_011477587.1	WP_012150977.1	WP_053351038.1	NP_220913.1	WP_004597830.1
7	7	0.813	WP_029374466.1	WP_011190924.1	WP_041804673.1	WP_014362358.1	WP_014392436.1	NP_220858.1	WP_004597722.1
7	7	0.812	WP_004996682.1	WP_011190498.1	WP_011477844.1	WP_012150371.1	WP_004996682.1	NP_220505.1	WP_004597146.1
7	7	0.812	WP_010976768.1	WP_011190549.1	WP_011478002.1	WP_012150311.1	WP_045800143.1	NP_220450.1	WP_004599718.1
7	7	0.812	WP_010976789.1	WP_011190528.1	WP_011476716.1	WP_012150332.1	WP_014391815.1	NP_220471.1	WP_004596538.1
7	7	0.812	WP_010976948.1	WP_011190675.1	WP_011477191.1	WP_012150505.1	WP_053350927.1	NP_220602.1	WP_004598577.1
7	7	0.812	WP_010976953.1	WP_011190678.1	WP_011477194.1	WP_012150510.1	WP_053350928.1	NP_220605.1	WP_004596018.1
7	7	0.812	WP_010977795.1	WP_011191214.1	WP_011476798.1	WP_012151339.1	WP_014392813.1	NP_221146.1	WP_010886375.1
7	7	0.811	WP_010976778.1	WP_011190541.1	WP_011477952.1	WP_012150319.1	WP_014391779.1	NP_220458.1	WP_004596578.1
7	7	0.811	WP_010976974.1	WP_011190694.1	WP_011476917.1	WP_012150530.1	WP_014391959.1	NP_220620.1	WP_004598550.1
7	7	0.811	WP_010977882.1	WP_011191273.1	WP_011476767.1	WP_012151430.1	WP_014391642.1	NP_221204.1	WP_004599684.1
7	7	0.81	WP_004995901.1	WP_011190832.1	WP_041804854.1	WP_012150725.1	WP_014392155.1	NP_220764.1	WP_004597557.1
7	7	0.81	WP_004998193.1	WP_011190981.1	WP_011477591.1	WP_012150980.1	WP_014392411.1	NP_220915.1	WP_004597833.1
7	7	0.81	WP_010977038.1	WP_011190741.1	WP_011477670.1	WP_012150595.1	WP_014392033.1	NP_220669.1	WP_014411671.1
7	7	0.81	WP_010977175.1	WP_011190840.1	WP_011477015.1	WP_012262355.1	WP_014392168.1	NP_220772.1	WP_010886282.1
7	7	0.81	WP_010977720.1	WP_011191164.1	WP_012151510.1	WP_012262578.1	WP_014392748.1	NP_221098.1	WP_004597010.1
7	7	0.81	WP_010977732.1	WP_011191168.1	WP_011478059.1	WP_012151279.1	WP_045800060.1	NP_221102.1	WP_004597002.1
7	7	0.81	WP_010977743.1	WP_011191178.1	WP_011476733.1	WP_012151294.1	WP_014392767.1	NP_221111.1	WP_004596984.1
7	7	0.809	WP_010976988.1	WP_011190707.1	WP_011477622.1	WP_012150548.1	WP_045800224.1	NP_220634.1	WP_004596068.1
7	7	0.809	WP_010977606.1	WP_011191108.1	WP_011476899.1	WP_012151171.1	WP_014392654.1	NP_221037.1	WP_004599526.1
7	7	0.809	WP_010977792.1	WP_011191211.1	WP_011476784.1	WP_012151336.1	WP_053351128.1	NP_221143.1	WP_010886373.1
7	7	0.809	WP_029374431.1	WP_011190606.1	WP_011477039.1	WP_014362454.1	WP_045800172.1	NP_220536.1	WP_004599762.1
7	7	0.808	WP_004997036.1	WP_011191299.1	WP_011478030.1	WP_012151472.1	WP_014391680.1	NP_221228.1	WP_004596721.1
7	7	0.808	WP_010976833.1	WP_011190494.1	WP_011477840.1	WP_004996667.1	WP_004996667.1	NP_220509.1	WP_004597150.1
7	7	0.808	WP_010976844.1	WP_011190589.1	WP_011477826.1	WP_012150387.1	WP_014391840.1	NP_220519.1	WP_004597167.1
7	7	0.807	WP_004997395.1	WP_011191191.1	WP_011476823.1	WP_004997395.1	WP_014014787.1	NP_221124.1	WP_004596961.1
7	7	0.807	WP_010976861.1	WP_011190611.1	WP_011477795.1	WP_010976861.1	WP_014391861.1	NP_220541.1	WP_004599765.1
7	7	0.807	WP_010976890.1	WP_011190641.1	WP_011477757.1	WP_012150443.1	WP_014391892.1	NP_220569.1	WP_004595915.1
7	7	0.807	WP_010977014.1	WP_011190728.1	WP_011477497.1	WP_012150571.1	WP_053350946.1	NP_220656.1	WP_004599371.1
7	7	0.807	WP_010977036.1	WP_011190739.1	WP_011477569.1	WP_012150593.1	WP_014392031.1	NP_220667.1	WP_004597357.1
7	7	0.807	WP_010977178.1	WP_011190844.1	WP_011477019.1	WP_012150742.1	WP_014392172.1	NP_220776.1	WP_004597576.1
7	7	0.807	WP_010977768.1	WP_011191190.1	WP_011476824.1	WP_010977768.1	WP_045800073.1	NP_221123.1	WP_004596963.1
7	7	0.807	WP_010977923.1	WP_011191301.1	WP_011478078.1	WP_012151474.1	WP_053350870.1	NP_221230.1	WP_004599695.1
7	7	0.806	WP_004996137.1	WP_011190763.1	WP_011476958.1	WP_012150628.1	WP_053350955.1	NP_220693.1	WP_004597405.1
7	7	0.806	WP_004996648.1	WP_011190591.1	WP_011477822.1	WP_012150389.1	WP_014391842.1	NP_220521.1	WP_010886215.1
7	7	0.806	WP_010976771.1	WP_011190546.1	WP_041804950.1	WP_012150313.1	WP_014391771.1	NP_220453.1	WP_004599720.1
7	7	0.806	WP_010977131.1	WP_011190813.1	WP_011477663.1	WP_012150688.1	WP_053350969.1	NP_220744.2	WP_004597501.1
7	7	0.806	WP_010977421.1	WP_011190984.1	WP_011477008.1	WP_012150986.1	WP_014392404.1	NP_220919.1	WP_014411749.1
7	7	0.806	WP_010977668.1	WP_011191140.1	WP_011476881.1	WP_012151225.1	WP_053351113.1	NP_221073.1	WP_041405383.1
7	7	0.806	WP_010977841.1	WP_011191242.1	WP_011476853.1	WP_012151388.1	WP_045800098.1	NP_221174.1	WP_004599672.1
7	7	0.805	WP_010977061.1	WP_011190759.1	WP_011477202.1	WP_012150616.1	WP_014392056.1	NP_220689.1	WP_004599389.1
7	7	0.805	WP_010977855.1	WP_011191253.1	WP_011476856.1	WP_010977855.1	WP_045800103.1	NP_221185.1	WP_004596816.1
7	7	0.804	WP_010976828.1	WP_011190500.1	WP_011477874.1	WP_012150369.1	WP_014391824.1	NP_220503.1	WP_004597144.1
7	7	0.804	WP_010976829.1	WP_011190499.1	WP_011477875.1	WP_012150370.1	WP_014391825.1	NP_220504.1	WP_004597145.1
7	7	0.804	WP_010976842.1	WP_011190587.1	WP_011477828.1	WP_012150384.1	WP_045800165.1	NP_220517.1	WP_004597164.1
7	7	0.804	WP_010977135.1	WP_011190817.1	WP_011477909.1	WP_012150692.1	WP_053350972.1	NP_220749.1	WP_004599430.1
7	7	0.804	WP_010977545.1	WP_014419450.1	WP_011477144.1	WP_012151102.1	WP_045800455.1	NP_220981.1	WP_004599164.1
7	7	0.804	WP_029374420.1	WP_011190486.1	WP_011477858.1	WP_012150239.1	WP_014391738.1	NP_220406.1	WP_014411626.1
7	7	0.803	WP_010976785.1	WP_011190533.1	WP_011477945.1	WP_012150327.1	WP_014391820.1	NP_220466.1	WP_004596554.1
7	7	0.803	WP_010976799.1	WP_011190521.1	WP_011477984.1	WP_012150342.1	WP_045800157.1	NP_220483.1	WP_004596512.1
7	7	0.803	WP_010976832.1	WP_011190495.1	WP_041804718.1	WP_012150374.1	WP_014391828.1	NP_220508.1	WP_004597149.1
7	7	0.803	WP_010976854.1	WP_011190603.1	WP_011477041.1	WP_012150400.1	WP_053350901.1	NP_220533.1	WP_004597194.1
7	7	0.803	WP_010976997.1	WP_011190714.1	WP_011476910.1	WP_012150556.1	WP_053350943.1	NP_220641.1	WP_004596085.1
7	7	0.803	WP_010977107.1	WP_011190797.1	WP_011477371.1	WP_012150667.1	WP_014392099.1	NP_220726.1	WP_010886270.1
7	7	0.803	WP_010977217.1	WP_011190866.1	WP_011477325.1	WP_012150776.1	WP_014392202.1	NP_220800.1	WP_004597616.1
7	7	0.803	WP_010977235.1	WP_011190882.1	WP_011477890.1	WP_004995740.1	WP_014392222.1	NP_220815.1	WP_004599471.1
7	7	0.803	WP_010977765.1	WP_011191188.1	WP_011476826.1	WP_012151310.1	WP_045800071.1	NP_221121.1	WP_010886367.1
7	7	0.803	WP_010977804.1	WP_011191223.1	WP_011476787.1	WP_012262607.1	WP_045800088.1	NP_221155.1	WP_004599659.1
7	7	0.803	WP_041471739.1	WP_011191106.1	WP_011476902.1	WP_014362489.1	WP_014392653.1	NP_221036.1	WP_004596348.1
7	7	0.802	WP_010976792.1	WP_011190525.1	WP_011477932.1	WP_012150336.1	WP_014391810.1	NP_220478.1	WP_004599732.1
7	7	0.802	WP_010977102.1	WP_011190788.1	WP_011477376.1	WP_012150661.1	WP_014392093.1	NP_220717.1	WP_004597460.1
7	7	0.802	WP_010977460.1	WP_011191003.1	WP_011477881.1	WP_012151020.1	WP_014392370.1	NP_220938.1	WP_004597869.1
7	7	0.802	WP_010977713.1	WP_011191159.1	WP_011477961.1	WP_012262576.1	WP_014392741.1	NP_221093.1	WP_004597020.1
7	7	0.802	WP_010977830.1	WP_011191234.1	WP_011476872.1	WP_012151373.1	WP_014392839.1	NP_221166.1	WP_004596870.1
7	7	0.801	WP_004996761.1	WP_011190523.1	WP_011477934.1	WP_012150338.1	WP_014391808.1	NP_220480.1	WP_004599734.1
7	7	0.801	WP_010977182.1	WP_011190848.1	WP_011477024.1	WP_012150745.1	WP_045800292.1	NP_220780.1	WP_004597580.1
7	7	0.801	WP_010977265.1	WP_011190953.1	WP_011477643.1	WP_012262392.1	WP_014392257.1	NP_220890.1	WP_004599078.1
7	7	0.801	WP_010977624.1	WP_011191115.1	WP_011476932.1	WP_012151188.1	WP_045800485.1	NP_221044.1	WP_004596363.1
7	7	0.801	WP_010977880.1	WP_011191271.1	WP_041804584.1	WP_012151428.1	WP_053350862.1	NP_221202.1	WP_004599683.1
7	7	0.8	WP_010976938.1	WP_011190668.1	WP_011477230.1	WP_012262263.1	WP_014391929.1	NP_220596.1	WP_004595989.1
7	7	0.8	WP_010977078.1	WP_011190770.1	WP_011477488.1	WP_012150636.1	WP_045800254.1	NP_220699.1	WP_004599400.1
7	7	0.8	WP_010977100.1	WP_011190786.1	WP_011477378.1	WP_012150659.1	WP_014392091.1	NP_220715.1	WP_004597457.1
7	7	0.8	WP_010977798.1	WP_011191217.1	WP_011476794.1	WP_012151341.1	WP_014392815.1	NP_221149.1	WP_004596907.1
7	7	0.8	WP_041471737.1	WP_011191099.1	WP_011477735.1	WP_012151165.1	WP_045800477.1	NP_221031.1	WP_004599197.1
7	7	0.8	WP_041471761.1	WP_014419422.1	WP_011477078.1	WP_012150610.1	WP_045800526.1	NP_220682.1	WP_004599385.1
7	7	0.799	WP_010977782.1	WP_011191202.1	WP_011476776.1	WP_012151327.1	WP_045800081.1	NP_221134.1	WP_004596936.1
7	7	0.799	WP_016830702.1	WP_011190760.1	WP_011477203.1	WP_012150617.1	WP_045800248.1	NP_220690.1	WP_004597398.1
7	7	0.798	WP_004997577.1	WP_011191148.1	WP_011477056.1	WP_012262569.1	WP_095531997.1	NP_221081.1	WP_014411761.1
7	7	0.798	WP_010977042.1	WP_011190745.1	WP_011477673.1	WP_012150598.1	WP_045800244.1	NP_220673.1	WP_004597368.1
7	7	0.798	WP_010977362.1	WP_011190900.1	WP_011477399.1	WP_012150923.1	WP_014392492.1	NP_220833.1	WP_004599487.1
7	7	0.798	WP_010977514.1	WP_011191033.1	WP_011477516.1	WP_012151075.1	WP_053351087.1	NP_220967.1	WP_004597938.1
7	7	0.798	WP_010977549.1	WP_011191050.1	WP_011477271.1	WP_014362394.1	WP_053351093.1	NP_220984.1	WP_004596290.1
7	7	0.797	WP_004997285.1	WP_011191231.1	WP_011476715.1	WP_012151363.1	WP_014392831.1	NP_221162.1	WP_004596876.1
7	7	0.797	WP_004997829.1	WP_011191074.1	WP_011477702.1	WP_012151138.1	WP_014392622.1	NP_221004.1	WP_010886338.1
7	7	0.797	WP_004998176.1	WP_011190986.1	WP_011476984.1	WP_012150988.1	WP_014392402.1	NP_220921.1	WP_004599050.1
7	7	0.797	WP_010976864.1	WP_011190614.1	WP_011477792.1	WP_012150410.1	WP_045800179.1	NP_220544.1	WP_004597219.1
7	7	0.797	WP_010977885.1	WP_011191276.1	WP_011476751.1	WP_012151433.1	WP_053350864.1	NP_221207.1	WP_004596761.1
7	7	0.797	WP_010977896.1	WP_011191287.1	WP_011477970.1	WP_012151448.1	WP_045800116.1	NP_221217.1	WP_004596744.1
7	7	0.796	WP_004996604.1	WP_011190619.1	WP_011477782.1	WP_004996604.1	WP_011271433.1	NP_220549.1	WP_004595874.1
7	7	0.796	WP_008580947.1	WP_011191080.1	WP_011477708.1	WP_008580947.1	WP_008580947.1	NP_221010.1	WP_004596221.1
7	7	0.796	WP_010976820.1	WP_011190506.1	WP_011477917.1	WP_012150363.1	WP_053350887.1	NP_220497.1	WP_014411732.1
7	7	0.796	WP_010976891.1	WP_011190642.1	WP_011477758.1	WP_012150445.1	WP_053350917.1	NP_220570.1	WP_004598613.1
7	7	0.796	WP_010976985.1	WP_011190704.1	WP_041804697.1	WP_012262282.1	WP_053350940.1	NP_220631.1	WP_004598532.1
7	7	0.796	WP_010977116.1	WP_011190801.1	WP_011477436.1	WP_012262331.1	WP_053350967.1	NP_220731.1	WP_004599419.1
7	7	0.796	WP_010977615.1	WP_011191112.1	WP_011476942.1	WP_012151179.1	WP_014409505.1	NP_221041.1	WP_004599522.1
7	7	0.795	WP_004997581.1	WP_011191146.1	WP_011477058.1	WP_004997581.1	WP_045800048.1	NP_221079.1	WP_004597050.1
7	7	0.795	WP_010976751.1	WP_011190562.1	WP_011476816.1	WP_012150293.1	WP_053350881.1	NP_220435.1	WP_004596640.1
7	7	0.795	WP_010976839.1	WP_011190583.1	WP_011477832.1	WP_012262222.1	WP_045800163.1	NP_220513.1	WP_004597156.1
7	7	0.795	WP_010976919.1	WP_011190657.1	WP_011477189.1	WP_012150475.1	WP_014391915.1	NP_220584.1	WP_004595959.1
7	7	0.795	WP_010977059.1	WP_011190757.1	WP_011476961.1	WP_012262306.1	WP_014392053.1	NP_220686.1	WP_004597391.1
7	7	0.795	WP_010977770.1	WP_011191193.1	WP_011476724.1	WP_012151314.1	WP_014392787.1	NP_221126.1	WP_004596957.1
7	7	0.795	WP_010977786.1	WP_011191207.1	WP_011476780.1	WP_012262600.1	WP_053351126.1	NP_221139.1	WP_004599652.1
7	7	0.794	WP_004997827.1	WP_011191075.1	WP_011477703.1	WP_012151139.1	WP_014392623.1	NP_221005.1	WP_004596229.1
7	7	0.794	WP_010976877.1	WP_011190632.1	WP_011477809.1	WP_012262238.1	WP_053350911.1	NP_220560.1	WP_014411736.1
7	7	0.794	WP_010976946.1	WP_011190673.1	WP_011477193.1	WP_012150503.1	WP_014391935.1	NP_220600.1	WP_004596005.1
7	7	0.794	WP_010977040.1	WP_011190743.1	WP_011477672.1	WP_012150597.1	WP_014392034.1	NP_220671.1	WP_004597364.1
7	7	0.794	WP_010977099.1	WP_011190785.1	WP_011477475.1	WP_012150656.1	WP_045800261.1	NP_220713.1	WP_004597453.1
7	7	0.794	WP_010977574.1	WP_011191069.1	WP_011477696.1	WP_004997844.1	WP_045800465.1	NP_220998.1	WP_004596246.1
7	7	0.794	WP_010977836.1	WP_044286911.1	WP_011476850.1	WP_012151383.1	WP_053351135.1	NP_221172.1	WP_010886379.1
7	7	0.794	WP_010977886.1	WP_011191277.1	WP_011476750.1	WP_012262639.1	WP_045800112.1	NP_221208.1	WP_004596759.1
