Orthogroup	c1	c2	c3	c4	c5
OG0000217	lcl|NC_000922.1_prot_NP_224443.1_214	lcl|NC_005043.1_prot_WP_010882886.1_231	lcl|NC_002491.1_prot_WP_010882886.1_235	lcl|NC_017285.1_prot_WP_010882886.1_509	lcl|AE002161.1_prot_AAF38353.2_520
OG0000218	lcl|NC_000922.1_prot_NP_224444.1_215	lcl|NC_005043.1_prot_WP_010882887.1_232	lcl|NC_002491.1_prot_WP_010882887.1_236	lcl|NC_017285.1_prot_WP_014517861.1_508	lcl|AE002161.1_prot_AAF38351.1_518
OG0000219	lcl|NC_000922.1_prot_NP_224445.1_216	lcl|NC_005043.1_prot_WP_010882888.1_233	lcl|NC_002491.1_prot_WP_010892089.1_237	lcl|NC_017285.1_prot_WP_010882888.1_507	lcl|AE002161.1_prot_AAF38350.1_517
OG0000220	lcl|NC_000922.1_prot_NP_224446.1_217	lcl|NC_005043.1_prot_WP_010882889.1_234	lcl|NC_002491.1_prot_WP_010882889.1_238	lcl|NC_017285.1_prot_WP_010882889.1_506	lcl|AE002161.1_prot_AAF38349.1_516
OG0000221	lcl|NC_000922.1_prot_NP_224447.1_218	lcl|NC_005043.1_prot_WP_010882890.1_235	lcl|NC_002491.1_prot_WP_010882890.1_239	lcl|NC_017285.1_prot_WP_014517860.1_505	lcl|AE002161.1_prot_AAF73682.1_515
OG0000222	lcl|NC_000922.1_prot_NP_224448.1_219	lcl|NC_005043.1_prot_WP_010882891.1_236	lcl|NC_002491.1_prot_240	lcl|NC_017285.1_prot_WP_010882891.1_504	lcl|AE002161.1_prot_AAF73681.1_514
OG0000223	lcl|NC_000922.1_prot_NP_224449.1_220	lcl|NC_005043.1_prot_WP_010892086.1_237	lcl|NC_002491.1_prot_WP_010892086.1_241	lcl|NC_017285.1_prot_WP_035416755.1_503	lcl|AE002161.1_prot_AAF38348.1_513
OG0000224	lcl|NC_000922.1_prot_NP_224450.1_221	lcl|NC_005043.1_prot_WP_010882893.1_238	lcl|NC_002491.1_prot_WP_010895302.1_242	lcl|NC_017285.1_prot_WP_014517858.1_502	lcl|AE002161.1_prot_AAF38347.1_512
OG0000225	lcl|NC_000922.1_prot_NP_224451.1_222	lcl|NC_005043.1_prot_WP_010882894.1_239	lcl|NC_002491.1_prot_WP_010882894.1_243	lcl|NC_017285.1_prot_WP_014517856.1_501	lcl|AE002161.1_prot_AAF38346.1_511
OG0000226	lcl|NC_000922.1_prot_NP_224452.1_223	lcl|NC_005043.1_prot_WP_010882895.1_240	lcl|NC_002491.1_prot_WP_010882895.1_244	lcl|NC_017285.1_prot_WP_014517854.1_500	lcl|AE002161.1_prot_AAF38345.1_510
OG0000227	lcl|NC_000922.1_prot_NP_224453.1_224	lcl|NC_005043.1_prot_WP_010882896.1_241	lcl|NC_002491.1_prot_WP_010882896.1_245	lcl|NC_017285.1_prot_WP_014517853.1_499	lcl|AE002161.1_prot_AAF38344.1_509
OG0000228	lcl|NC_000922.1_prot_NP_224454.1_225	lcl|NC_005043.1_prot_WP_010882897.1_242	lcl|NC_002491.1_prot_WP_010895303.1_246	lcl|NC_017285.1_prot_WP_014517852.1_498	lcl|AE002161.1_prot_AAF73680.1_508
OG0000229	lcl|NC_000922.1_prot_NP_224455.1_226	lcl|NC_005043.1_prot_WP_010882898.1_243	lcl|NC_002491.1_prot_WP_010882898.1_247	lcl|NC_017285.1_prot_WP_010882898.1_497	lcl|AE002161.1_prot_AAF38343.1_507
OG0000230	lcl|NC_000922.1_prot_NP_224456.1_227	lcl|NC_005043.1_prot_WP_010882899.1_244	lcl|NC_002491.1_prot_WP_010882899.1_248	lcl|NC_017285.1_prot_WP_014517851.1_496	lcl|AE002161.1_prot_AAF38342.1_506
OG0000231	lcl|NC_000922.1_prot_NP_224457.1_228	lcl|NC_005043.1_prot_WP_010882900.1_245	lcl|NC_002491.1_prot_WP_010882900.1_249	lcl|NC_017285.1_prot_WP_014517850.1_495	lcl|AE002161.1_prot_AAF73679.1_504
OG0000232	lcl|NC_000922.1_prot_NP_224458.1_229	lcl|NC_005043.1_prot_WP_011126090.1_246	lcl|NC_002491.1_prot_WP_010882901.1_250	lcl|NC_017285.1_prot_WP_014517849.1_494	lcl|AE002161.1_prot_AAF38340.1_503
OG0000233	lcl|NC_000922.1_prot_NP_224459.1_230	lcl|NC_005043.1_prot_WP_010882902.1_247	lcl|NC_002491.1_prot_WP_010882902.1_251	lcl|NC_017285.1_prot_WP_006343203.1_493	lcl|AE002161.1_prot_AAF38339.1_502
OG0000234	lcl|NC_000922.1_prot_NP_224460.1_231	lcl|NC_005043.1_prot_WP_041466977.1_248	lcl|NC_002491.1_prot_WP_042253977.1_252	lcl|NC_017285.1_prot_WP_014517848.1_492	lcl|AE002161.1_prot_AAF38338.1_501
OG0000235	lcl|NC_000922.1_prot_NP_224465.1_236	lcl|NC_005043.1_prot_WP_010882908.1_257	lcl|NC_002491.1_prot_WP_010882908.1_261	lcl|NC_017285.1_prot_WP_014517841.1_484	lcl|AE002161.1_prot_AAF38330.1_495
OG0000236	lcl|NC_000922.1_prot_NP_224466.1_237	lcl|NC_005043.1_prot_WP_010882909.1_258	lcl|NC_002491.1_prot_WP_010882909.1_262	lcl|NC_017285.1_prot_WP_014517840.1_483	lcl|AE002161.1_prot_AAF38329.1_494
OG0000237	lcl|NC_000922.1_prot_NP_224467.1_238	lcl|NC_005043.1_prot_WP_010882910.1_259	lcl|NC_002491.1_prot_WP_010882910.1_263	lcl|NC_017285.1_prot_WP_080511690.1_482	lcl|AE002161.1_prot_AAF38328.1_493
OG0000238	lcl|NC_000922.1_prot_NP_224468.1_239	lcl|NC_005043.1_prot_WP_010882911.1_260	lcl|NC_002491.1_prot_WP_010882911.1_264	lcl|NC_017285.1_prot_WP_010882911.1_481	lcl|AE002161.1_prot_AAF38327.1_492
OG0000239	lcl|NC_000922.1_prot_NP_224469.1_240	lcl|NC_005043.1_prot_WP_010882912.1_261	lcl|NC_002491.1_prot_WP_010882912.1_265	lcl|NC_017285.1_prot_WP_014517838.1_480	lcl|AE002161.1_prot_AAF73678.1_491
OG0000240	lcl|NC_000922.1_prot_NP_224470.1_241	lcl|NC_005043.1_prot_WP_010882913.1_262	lcl|NC_002491.1_prot_WP_010882913.1_266	lcl|NC_017285.1_prot_WP_014517837.1_479	lcl|AE002161.1_prot_AAF38326.1_490
OG0000241	lcl|NC_000922.1_prot_NP_224471.1_242	lcl|NC_005043.1_prot_WP_010882914.1_263	lcl|NC_002491.1_prot_WP_010882914.1_267	lcl|NC_017285.1_prot_WP_014517836.1_478	lcl|AE002161.1_prot_AAF38325.1_489
OG0000242	lcl|NC_000922.1_prot_NP_224472.1_243	lcl|NC_005043.1_prot_WP_010882915.1_264	lcl|NC_002491.1_prot_WP_010882915.1_268	lcl|NC_017285.1_prot_477	lcl|AE002161.1_prot_AAF38323.1_487
OG0000243	lcl|NC_000922.1_prot_NP_224473.1_244	lcl|NC_005043.1_prot_WP_010882916.1_265	lcl|NC_002491.1_prot_WP_010882916.1_269	lcl|NC_017285.1_prot_WP_035416745.1_476	lcl|AE002161.1_prot_AAF38322.1_486
OG0000244	lcl|NC_000922.1_prot_NP_224474.1_245	lcl|NC_005043.1_prot_WP_010882917.1_266	lcl|NC_002491.1_prot_WP_010882917.1_270	lcl|NC_017285.1_prot_WP_014517834.1_475	lcl|AE002161.1_prot_AAF38320.1_484
OG0000245	lcl|NC_000922.1_prot_NP_224475.1_246	lcl|NC_005043.1_prot_WP_011126097.1_267	lcl|NC_002491.1_prot_WP_010882918.1_271	lcl|NC_017285.1_prot_WP_014517833.1_474	lcl|AE002161.1_prot_AAF38319.1_483
OG0000246	lcl|NC_000922.1_prot_NP_224476.1_247	lcl|NC_005043.1_prot_WP_010882919.1_268	lcl|NC_002491.1_prot_WP_010882919.1_272	lcl|NC_017285.1_prot_WP_014517832.1_473	lcl|AE002161.1_prot_AAF38318.1_482
OG0000247	lcl|NC_000922.1_prot_NP_224477.1_248	lcl|NC_005043.1_prot_WP_010882920.1_269	lcl|NC_002491.1_prot_WP_010882920.1_273	lcl|NC_017285.1_prot_WP_014517831.1_472	lcl|AE002161.1_prot_AAF38317.1_481
OG0000248	lcl|NC_000922.1_prot_NP_224478.1_249	lcl|NC_005043.1_prot_WP_010882921.1_270	lcl|NC_002491.1_prot_WP_010882921.1_274	lcl|NC_017285.1_prot_WP_010882921.1_471	lcl|AE002161.1_prot_AAF38316.1_480
OG0000249	lcl|NC_000922.1_prot_NP_224479.1_250	lcl|NC_005043.1_prot_WP_010892079.1_271	lcl|NC_002491.1_prot_WP_010892079.1_275	lcl|NC_017285.1_prot_WP_014517830.1_470	lcl|AE002161.1_prot_AAF38315.1_479
OG0000250	lcl|NC_000922.1_prot_NP_224480.1_251	lcl|NC_005043.1_prot_WP_010882923.1_272	lcl|NC_002491.1_prot_WP_010882923.1_276	lcl|NC_017285.1_prot_WP_014517829.1_469	lcl|AE002161.1_prot_AAF38314.1_478
OG0000251	lcl|NC_000922.1_prot_NP_224481.1_252	lcl|NC_005043.1_prot_WP_010882924.1_273	lcl|NC_002491.1_prot_WP_010882924.1_277	lcl|NC_017285.1_prot_WP_010882924.1_468	lcl|AE002161.1_prot_AAF38313.1_477
OG0000252	lcl|NC_000922.1_prot_NP_224482.1_253	lcl|NC_005043.1_prot_WP_010882925.1_274	lcl|NC_002491.1_prot_WP_010882925.1_278	lcl|NC_017285.1_prot_WP_014517828.1_467	lcl|AE002161.1_prot_AAF38311.1_475
OG0000253	lcl|NC_000922.1_prot_NP_224483.1_254	lcl|NC_005043.1_prot_WP_010882926.1_275	lcl|NC_002491.1_prot_WP_010882926.1_279	lcl|NC_017285.1_prot_WP_014517827.1_466	lcl|AE002161.1_prot_AAF73677.1_474
OG0000254	lcl|NC_000922.1_prot_NP_224484.1_255	lcl|NC_005043.1_prot_WP_010882927.1_276	lcl|NC_002491.1_prot_WP_010882927.1_280	lcl|NC_017285.1_prot_WP_010882927.1_465	lcl|AE002161.1_prot_AAF73676.1_473
OG0000255	lcl|NC_000922.1_prot_NP_224485.1_256	lcl|NC_005043.1_prot_WP_011126100.1_277	lcl|NC_002491.1_prot_WP_010882928.1_281	lcl|NC_017285.1_prot_WP_014517826.1_464	lcl|AE002161.1_prot_AAF73675.1_472
OG0000256	lcl|NC_000922.1_prot_NP_224486.1_257	lcl|NC_005043.1_prot_WP_010882929.1_278	lcl|NC_002491.1_prot_WP_010882929.1_282	lcl|NC_017285.1_prot_WP_010882929.1_463	lcl|AE002161.1_prot_AAF38310.1_471
OG0000257	lcl|NC_000922.1_prot_NP_224487.1_258	lcl|NC_005043.1_prot_WP_010882930.1_279	lcl|NC_002491.1_prot_WP_010882930.1_283	lcl|NC_017285.1_prot_WP_014517825.1_462	lcl|AE002161.1_prot_AAF38309.1_470
OG0000258	lcl|NC_000922.1_prot_NP_224489.1_260	lcl|NC_005043.1_prot_WP_010882932.1_281	lcl|NC_002491.1_prot_WP_010882932.1_285	lcl|NC_017285.1_prot_460	lcl|AE002161.1_prot_AAF38308.1_469
OG0000259	lcl|NC_000922.1_prot_NP_224490.1_261	lcl|NC_005043.1_prot_WP_010882933.1_282	lcl|NC_002491.1_prot_WP_010882933.1_286	lcl|NC_017285.1_prot_WP_035416736.1_459	lcl|AE002161.1_prot_AAF38307.1_468
OG0000260	lcl|NC_000922.1_prot_NP_224491.1_262	lcl|NC_005043.1_prot_WP_010882934.1_283	lcl|NC_002491.1_prot_WP_010882934.1_287	lcl|NC_017285.1_prot_WP_010882934.1_458	lcl|AE002161.1_prot_AAF73674.1_467
OG0000261	lcl|NC_000922.1_prot_NP_224492.1_263	lcl|NC_005043.1_prot_WP_010882935.1_284	lcl|NC_002491.1_prot_WP_010882935.1_288	lcl|NC_017285.1_prot_WP_014517822.1_457	lcl|AE002161.1_prot_AAF38306.1_466
OG0000262	lcl|NC_000922.1_prot_NP_224493.1_264	lcl|NC_005043.1_prot_WP_010882936.1_285	lcl|NC_002491.1_prot_WP_010882936.1_289	lcl|NC_017285.1_prot_WP_014517821.1_456	lcl|AE002161.1_prot_AAF38305.1_465
OG0000263	lcl|NC_000922.1_prot_NP_224494.1_265	lcl|NC_005043.1_prot_WP_011126102.1_286	lcl|NC_002491.1_prot_WP_010892077.1_290	lcl|NC_017285.1_prot_WP_014517820.1_455	lcl|AE002161.1_prot_AAF73673.1_464
OG0000264	lcl|NC_000922.1_prot_NP_224495.1_266	lcl|NC_005043.1_prot_WP_010882938.1_287	lcl|NC_002491.1_prot_WP_010892076.1_291	lcl|NC_017285.1_prot_WP_010882938.1_454	lcl|AE002161.1_prot_AAF73672.1_463
OG0000265	lcl|NC_000922.1_prot_NP_224496.1_267	lcl|NC_005043.1_prot_WP_010882939.1_288	lcl|NC_002491.1_prot_WP_010882939.1_292	lcl|NC_017285.1_prot_WP_014517819.1_453	lcl|AE002161.1_prot_AAF38304.1_462
OG0000266	lcl|NC_000922.1_prot_NP_224497.1_268	lcl|NC_005043.1_prot_WP_010882940.1_289	lcl|NC_002491.1_prot_WP_010882940.1_293	lcl|NC_017285.1_prot_WP_014517818.1_452	lcl|AE002161.1_prot_AAF38303.1_461
OG0000267	lcl|NC_000922.1_prot_NP_224498.1_269	lcl|NC_005043.1_prot_WP_010892075.1_290	lcl|NC_002491.1_prot_WP_010892075.1_294	lcl|NC_017285.1_prot_WP_014517817.1_451	lcl|AE002161.1_prot_AAF38302.1_460
OG0000268	lcl|NC_000922.1_prot_NP_224499.1_270	lcl|NC_005043.1_prot_WP_010882942.1_291	lcl|NC_002491.1_prot_WP_010882942.1_295	lcl|NC_017285.1_prot_WP_010882942.1_450	lcl|AE002161.1_prot_AAF38301.1_459
OG0000269	lcl|NC_000922.1_prot_NP_224500.1_271	lcl|NC_005043.1_prot_WP_010882943.1_292	lcl|NC_002491.1_prot_WP_010882943.1_296	lcl|NC_017285.1_prot_WP_010882943.1_449	lcl|AE002161.1_prot_AAF38300.1_458
OG0000270	lcl|NC_000922.1_prot_NP_224501.1_272	lcl|NC_005043.1_prot_WP_010882944.1_293	lcl|NC_002491.1_prot_WP_010882944.1_297	lcl|NC_017285.1_prot_WP_014517816.1_448	lcl|AE002161.1_prot_AAF38299.1_457
OG0000271	lcl|NC_000922.1_prot_NP_224502.1_273	lcl|NC_005043.1_prot_WP_010882945.1_294	lcl|NC_002491.1_prot_WP_010895310.1_298	lcl|NC_017285.1_prot_WP_010882945.1_447	lcl|AE002161.1_prot_AAF38298.1_456
OG0000272	lcl|NC_000922.1_prot_NP_224503.1_274	lcl|NC_005043.1_prot_WP_010882946.1_295	lcl|NC_002491.1_prot_WP_010882946.1_299	lcl|NC_017285.1_prot_WP_010882946.1_446	lcl|AE002161.1_prot_AAF38297.1_455
OG0000273	lcl|NC_000922.1_prot_NP_224504.1_275	lcl|NC_005043.1_prot_WP_010882947.1_296	lcl|NC_002491.1_prot_WP_010882947.1_300	lcl|NC_017285.1_prot_WP_010882947.1_445	lcl|AE002161.1_prot_AAF38296.1_454
OG0000274	lcl|NC_000922.1_prot_NP_224505.1_276	lcl|NC_005043.1_prot_WP_041466953.1_297	lcl|NC_002491.1_prot_WP_010882948.1_301	lcl|NC_017285.1_prot_WP_014517815.1_444	lcl|AE002161.1_prot_AAF73671.1_453
OG0000275	lcl|NC_000922.1_prot_NP_224506.1_277	lcl|NC_005043.1_prot_WP_010882949.1_298	lcl|NC_002491.1_prot_WP_010882949.1_302	lcl|NC_017285.1_prot_WP_010882949.1_443	lcl|AE002161.1_prot_AAF38295.1_452
OG0000276	lcl|NC_000922.1_prot_NP_224507.1_278	lcl|NC_005043.1_prot_WP_010882950.1_299	lcl|NC_002491.1_prot_WP_010882950.1_303	lcl|NC_017285.1_prot_WP_010882950.1_442	lcl|AE002161.1_prot_AAF38294.1_451
OG0000277	lcl|NC_000922.1_prot_NP_224508.1_279	lcl|NC_005043.1_prot_WP_010882951.1_300	lcl|NC_002491.1_prot_WP_010882951.1_304	lcl|NC_017285.1_prot_WP_014517814.1_441	lcl|AE002161.1_prot_AAF38293.1_450
OG0000278	lcl|NC_000922.1_prot_NP_224509.1_280	lcl|NC_005043.1_prot_WP_010882952.1_301	lcl|NC_002491.1_prot_WP_010882952.1_305	lcl|NC_017285.1_prot_WP_014517813.1_440	lcl|AE002161.1_prot_AAF38292.1_449
OG0000279	lcl|NC_000922.1_prot_NP_224510.1_281	lcl|NC_005043.1_prot_WP_010882953.1_302	lcl|NC_002491.1_prot_WP_010882953.1_306	lcl|NC_017285.1_prot_WP_014517812.1_439	lcl|AE002161.1_prot_AAF38291.1_448
OG0000280	lcl|NC_000922.1_prot_NP_224511.1_282	lcl|NC_005043.1_prot_WP_010882954.1_303	lcl|NC_002491.1_prot_WP_010882954.1_307	lcl|NC_017285.1_prot_WP_010882954.1_438	lcl|AE002161.1_prot_AAF38290.1_447
OG0000281	lcl|NC_000922.1_prot_NP_224512.1_283	lcl|NC_005043.1_prot_WP_010882955.1_304	lcl|NC_002491.1_prot_WP_010882955.1_308	lcl|NC_017285.1_prot_WP_014517811.1_437	lcl|AE002161.1_prot_AAF38289.1_446
OG0000282	lcl|NC_000922.1_prot_NP_224513.1_284	lcl|NC_005043.1_prot_WP_010882956.1_305	lcl|NC_002491.1_prot_WP_010882956.1_309	lcl|NC_017285.1_prot_WP_014517810.1_436	lcl|AE002161.1_prot_AAF38288.1_445
OG0000283	lcl|NC_000922.1_prot_NP_224514.1_285	lcl|NC_005043.1_prot_WP_010882957.1_306	lcl|NC_002491.1_prot_WP_010895311.1_310	lcl|NC_017285.1_prot_WP_014517809.1_435	lcl|AE002161.1_prot_AAF38287.1_444
OG0000284	lcl|NC_000922.1_prot_NP_224515.1_286	lcl|NC_005043.1_prot_WP_010892072.1_307	lcl|NC_002491.1_prot_WP_010892072.1_311	lcl|NC_017285.1_prot_WP_014517808.1_434	lcl|AE002161.1_prot_AAF38286.1_443
OG0000285	lcl|NC_000922.1_prot_NP_224516.1_287	lcl|NC_005043.1_prot_WP_010882959.1_308	lcl|NC_002491.1_prot_WP_010882959.1_312	lcl|NC_017285.1_prot_WP_080511712.1_433	lcl|AE002161.1_prot_AAF38285.1_442
OG0000286	lcl|NC_000922.1_prot_NP_224517.1_288	lcl|NC_005043.1_prot_WP_010882960.1_309	lcl|NC_002491.1_prot_WP_010882960.1_313	lcl|NC_017285.1_prot_WP_014517806.1_432	lcl|AE002161.1_prot_AAF38284.1_441
OG0000287	lcl|NC_000922.1_prot_NP_224518.1_289	lcl|NC_005043.1_prot_WP_010882961.1_310	lcl|NC_002491.1_prot_WP_010882961.1_314	lcl|NC_017285.1_prot_WP_014517805.1_431	lcl|AE002161.1_prot_AAF73670.1_440
OG0000288	lcl|NC_000922.1_prot_NP_224519.1_290	lcl|NC_005043.1_prot_WP_010882962.1_311	lcl|NC_002491.1_prot_WP_010882962.1_315	lcl|NC_017285.1_prot_WP_014517804.1_430	lcl|AE002161.1_prot_AAF38283.1_439
OG0000289	lcl|NC_000922.1_prot_NP_224520.1_291	lcl|NC_005043.1_prot_WP_010882963.1_312	lcl|NC_002491.1_prot_WP_010882963.1_316	lcl|NC_017285.1_prot_WP_014517803.1_429	lcl|AE002161.1_prot_AAF38281.1_437
OG0000290	lcl|NC_000922.1_prot_NP_224521.1_292	lcl|NC_005043.1_prot_WP_010882964.1_313	lcl|NC_002491.1_prot_WP_010882964.1_317	lcl|NC_017285.1_prot_WP_014517802.1_428	lcl|AE002161.1_prot_AAF38280.1_436
OG0000291	lcl|NC_000922.1_prot_NP_224522.1_293	lcl|NC_005043.1_prot_WP_010882965.1_314	lcl|NC_002491.1_prot_WP_010892069.1_318	lcl|NC_017285.1_prot_WP_035416730.1_427	lcl|AE002161.1_prot_AAF38279.1_435
OG0000292	lcl|NC_000922.1_prot_NP_224523.1_294	lcl|NC_005043.1_prot_WP_010882966.1_315	lcl|NC_002491.1_prot_WP_010882966.1_319	lcl|NC_017285.1_prot_WP_010882966.1_426	lcl|AE002161.1_prot_AAF73669.1_434
OG0000293	lcl|NC_000922.1_prot_NP_224524.1_295	lcl|NC_005043.1_prot_WP_010882967.1_316	lcl|NC_002491.1_prot_WP_010882967.1_320	lcl|NC_017285.1_prot_WP_010882967.1_425	lcl|AE002161.1_prot_AAF38278.1_433
OG0000294	lcl|NC_000922.1_prot_NP_224525.1_296	lcl|NC_005043.1_prot_WP_010882968.1_317	lcl|NC_002491.1_prot_WP_010882968.1_321	lcl|NC_017285.1_prot_WP_080511689.1_424	lcl|AE002161.1_prot_AAF73668.1_432
OG0000295	lcl|NC_000922.1_prot_NP_224526.1_297	lcl|NC_005043.1_prot_WP_010882969.1_318	lcl|NC_002491.1_prot_WP_010882969.1_322	lcl|NC_017285.1_prot_WP_010882969.1_423	lcl|AE002161.1_prot_AAF73667.1_431
OG0000296	lcl|NC_000922.1_prot_NP_224527.1_298	lcl|NC_005043.1_prot_WP_010882970.1_319	lcl|NC_002491.1_prot_WP_010882970.1_323	lcl|NC_017285.1_prot_WP_014517799.1_422	lcl|AE002161.1_prot_AAF38277.1_430
OG0000297	lcl|NC_000922.1_prot_NP_224528.1_299	lcl|NC_005043.1_prot_WP_010882971.1_320	lcl|NC_002491.1_prot_WP_010882971.1_324	lcl|NC_017285.1_prot_WP_014517798.1_421	lcl|AE002161.1_prot_AAF38276.1_429
OG0000298	lcl|NC_000922.1_prot_NP_224529.1_300	lcl|NC_005043.1_prot_WP_010882972.1_321	lcl|NC_002491.1_prot_WP_010882972.1_325	lcl|NC_017285.1_prot_WP_010882972.1_420	lcl|AE002161.1_prot_AAF38275.1_428
OG0000299	lcl|NC_000922.1_prot_NP_224530.1_301	lcl|NC_005043.1_prot_WP_010882973.1_322	lcl|NC_002491.1_prot_WP_010882973.1_326	lcl|NC_017285.1_prot_WP_014517797.1_419	lcl|AE002161.1_prot_AAF38274.1_427
OG0000300	lcl|NC_000922.1_prot_NP_224531.1_302	lcl|NC_005043.1_prot_WP_010882974.1_323	lcl|NC_002491.1_prot_WP_010882974.1_327	lcl|NC_017285.1_prot_WP_014517796.1_418	lcl|AE002161.1_prot_AAF38273.1_426
OG0000301	lcl|NC_000922.1_prot_NP_224532.1_303	lcl|NC_005043.1_prot_WP_010882975.1_324	lcl|NC_002491.1_prot_WP_010882975.1_328	lcl|NC_017285.1_prot_WP_010882975.1_417	lcl|AE002161.1_prot_AAF38272.1_425
OG0000302	lcl|NC_000922.1_prot_NP_224533.1_304	lcl|NC_005043.1_prot_WP_010882976.1_325	lcl|NC_002491.1_prot_WP_010882976.1_329	lcl|NC_017285.1_prot_WP_014517793.1_416	lcl|AE002161.1_prot_AAF38271.1_424
OG0000303	lcl|NC_000922.1_prot_NP_224534.1_305	lcl|NC_005043.1_prot_WP_011126109.1_326	lcl|NC_002491.1_prot_WP_010882977.1_330	lcl|NC_017285.1_prot_WP_014517792.1_415	lcl|AE002161.1_prot_AAF73666.1_423
OG0000304	lcl|NC_000922.1_prot_NP_224535.1_306	lcl|NC_005043.1_prot_WP_010882978.1_327	lcl|NC_002491.1_prot_WP_010882978.1_331	lcl|NC_017285.1_prot_WP_014517791.1_414	lcl|AE002161.1_prot_AAF38270.1_422
OG0000305	lcl|NC_000922.1_prot_NP_224536.1_307	lcl|NC_005043.1_prot_WP_010882979.1_328	lcl|NC_002491.1_prot_WP_010882979.1_332	lcl|NC_017285.1_prot_WP_014517790.1_413	lcl|AE002161.1_prot_AAF38269.1_421
OG0000306	lcl|NC_000922.1_prot_NP_224538.1_309	lcl|NC_005043.1_prot_WP_010882981.1_330	lcl|NC_002491.1_prot_WP_010882981.1_334	lcl|NC_017285.1_prot_WP_010882981.1_411	lcl|AE002161.1_prot_AAF38268.1_420
OG0000307	lcl|NC_000922.1_prot_NP_224539.1_310	lcl|NC_005043.1_prot_WP_010882982.1_331	lcl|NC_002491.1_prot_WP_010882982.1_335	lcl|NC_017285.1_prot_WP_014517789.1_410	lcl|AE002161.1_prot_AAF38267.1_419
OG0000308	lcl|NC_000922.1_prot_NP_224540.1_311	lcl|NC_005043.1_prot_WP_010882983.1_332	lcl|NC_002491.1_prot_WP_010882983.1_336	lcl|NC_017285.1_prot_WP_014517788.1_409	lcl|AE002161.1_prot_AAF38266.1_418
OG0000309	lcl|NC_000922.1_prot_NP_224541.1_312	lcl|NC_005043.1_prot_WP_010882984.1_333	lcl|NC_002491.1_prot_WP_010882984.1_337	lcl|NC_017285.1_prot_WP_014517787.1_408	lcl|AE002161.1_prot_AAF38265.1_417
OG0000310	lcl|NC_000922.1_prot_NP_224542.1_313	lcl|NC_005043.1_prot_WP_041466954.1_334	lcl|NC_002491.1_prot_WP_010882985.1_338	lcl|NC_017285.1_prot_WP_035416720.1_407	lcl|AE002161.1_prot_AAF38264.1_416
OG0000311	lcl|NC_000922.1_prot_NP_224543.1_314	lcl|NC_005043.1_prot_WP_010895312.1_335	lcl|NC_002491.1_prot_WP_010895312.1_339	lcl|NC_017285.1_prot_WP_014517785.1_406	lcl|AE002161.1_prot_AAF38262.1_414
OG0000312	lcl|NC_000922.1_prot_NP_224544.1_315	lcl|NC_005043.1_prot_WP_010892060.1_338	lcl|NC_002491.1_prot_WP_010895315.1_342	lcl|NC_017285.1_prot_WP_010892060.1_403	lcl|AE002161.1_prot_AAF38260.1_412
OG0000313	lcl|NC_000922.1_prot_NP_224545.1_316	lcl|NC_005043.1_prot_WP_011126111.1_339	lcl|NC_002491.1_prot_WP_010895316.1_343	lcl|NC_017285.1_prot_WP_014517783.1_402	lcl|AE002161.1_prot_AAF38259.1_411
OG0000314	lcl|NC_000922.1_prot_NP_224546.1_317	lcl|NC_005043.1_prot_WP_010882989.1_340	lcl|NC_002491.1_prot_WP_010882989.1_344	lcl|NC_017285.1_prot_WP_014517782.1_401	lcl|AE002161.1_prot_AAF38258.1_410
OG0000315	lcl|NC_000922.1_prot_NP_224547.1_318	lcl|NC_005043.1_prot_WP_010882990.1_341	lcl|NC_002491.1_prot_WP_010882990.1_345	lcl|NC_017285.1_prot_WP_014517781.1_400	lcl|AE002161.1_prot_AAF38257.1_409
OG0000316	lcl|NC_000922.1_prot_NP_224548.1_319	lcl|NC_005043.1_prot_WP_010882991.1_342	lcl|NC_002491.1_prot_WP_010882991.1_346	lcl|NC_017285.1_prot_WP_014517780.1_399	lcl|AE002161.1_prot_AAF38256.1_408
OG0000317	lcl|NC_000922.1_prot_NP_224549.1_320	lcl|NC_005043.1_prot_WP_010882992.1_343	lcl|NC_002491.1_prot_WP_010882992.1_347	lcl|NC_017285.1_prot_WP_014517779.1_398	lcl|AE002161.1_prot_AAF38255.1_407
OG0000318	lcl|NC_000922.1_prot_NP_224550.1_321	lcl|NC_005043.1_prot_WP_010882993.1_345	lcl|NC_002491.1_prot_WP_010882993.1_349	lcl|NC_017285.1_prot_WP_014517777.1_396	lcl|AE002161.1_prot_AAF38253.1_405
OG0000319	lcl|NC_000922.1_prot_NP_224551.1_322	lcl|NC_005043.1_prot_WP_010882994.1_346	lcl|NC_002491.1_prot_WP_010895317.1_350	lcl|NC_017285.1_prot_WP_014517776.1_395	lcl|AE002161.1_prot_AAF38252.1_404
OG0000320	lcl|NC_000922.1_prot_NP_224552.1_323	lcl|NC_005043.1_prot_WP_041466955.1_347	lcl|NC_002491.1_prot_WP_010882995.1_351	lcl|NC_017285.1_prot_394	lcl|AE002161.1_prot_AAF73665.1_403
OG0000321	lcl|NC_000922.1_prot_NP_224553.1_324	lcl|NC_005043.1_prot_WP_010882996.1_348	lcl|NC_002491.1_prot_WP_010882996.1_352	lcl|NC_017285.1_prot_WP_014517774.1_393	lcl|AE002161.1_prot_AAF38251.1_402
